Name,major,Gram Pos,Gram neg,Rod,Coccus,non_bact,sslo
Acinetobacter gandensis,0,,1,,,,
Acinetobacter guillouiae,0,,1,,,,
Acinetobacter sp.,0,,1,,,,
Acinetobacter variabilis,0,,1,,,,
Actinomyces sp.,0,1,,1,,,
Aerococcus sp.,0,1,,,1,,
Aerococcus viridans,0,1,,,1,,
Arthrobacter gandavensis,0,1,,1,,,
Arthrobacter sp.,0,1,,1,,,
Bacillus cereus,0,1,,1,,,
Bacillus cerues,0,1,,1,,,
Bacillus circulans,0,1,,1,,,
Bacillus cytotoxicus,0,1,,1,,,
Bacillus licheniformis,0,1,,1,,,
Bacillus megaterium,0,1,,1,,,
Bacillus pumilus,0,1,,1,,,
Bacillus sp.,0,1,,1,,,
Bacillus subtilis,0,1,,1,,,
Brachybacterium conglomeratum,0,1,,,1,,
Brachybacterium faecium,0,1,,,1,,
Brachybacterium paraconglomeratum,0,1,,,1,,
Brachybacterium sp.,0,1,,,1,,
Brevibacillus agri,0,1,,1,,,
Brevibacillus borstelensis,0,1,,1,,,
Brevibacillus parabrevis,0,1,,1,,,
Brevundimonas sp.,0,,1,,,,
Candidia parapsilosis,0,,,,,1,
Chryseobacterium sp.,0,,1,,,,
Citrobacter freundii,1,,1,,,,
Citrobacter sp.,1,,1,,,,
Corynebacterium bovis,0,1,,1,,,
Corynebacterium phoceense,0,1,,1,,,
Corynebacterium sp.,0,1,,1,,,
Corynebacterium variabile,0,1,,1,,,
Corynebacterium xerosis,0,1,,1,,,
Curtobacterium flaccumfaciens,0,1,,1,,,
Cyberlindnera jadinii,0,,,,,1,
Cyberlindnera sp.,0,,,,,1,
Diutina rugosa,0,,,,,1,
Enterobacter aerogenes,1,,1,,,,
Enterobacter cloacae,1,,1,,,,
Enterobacter kobei,1,,1,,,,
Enterobacter sp.,1,,1,,,,
Enterobacter sp.,1,,1,1,,,
Enterococcus avium,1,1,,,1,,1
Enterococcus faecalis,1,1,,,1,,1
Enterococcus faecium,1,1,,,1,,1
Enterococcus hirae,1,1,,,1,,1
Enterococcus pseudoavium,1,1,,,1,,1
Enterococcus saccharolyticus,1,1,,,1,,1
Enterococcus sp.,1,1,,,1,,1
Enterococcus thailandicus,1,1,,,1,,1
Escherichia coli,1,,1,,,,
Escherichia sp.,1,,1,,,,
Glutamicibacter mysorens,0,1,,,,,
Gram negative organism,0,,1,,,,
Gram positive coccus,0,1,,,1,,
